sample ID	forward sequence count	reverse sequence count
001	158377	158377
002	577012	577012
007	224978	224978
011	133258	133258
012	341534	341534
013	496897	496897
014	111924	111924
015	178147	178147
018	318140	318140
019	310083	310083
020	198959	198959
023	183028	183028
026	410252	410252
027	164469	164469
031	176773	176773
034	650452	650452
035	815486	815486
036	148923	148923
039	290626	290626
040	405907	405907
041	198307	198307
042	242198	242198
044	181915	181915
046	163757	163757
047	286824	286824
048	216305	216305
050	144319	144319
051	185583	185583
053	326289	326289
055	267864	267864
057	152464	152464
059	201300	201300
060	577581	577581
063	160934	160934
064	287931	287931
065	64210	64210
066	297058	297058
068	195836	195836
071	453707	453707
072	733838	733838
103	600729	600729
105	215014	215014
106	212031	212031
110	149105	149105
113	195245	195245
118	468608	468608
121	248610	248610
122	221499	221499
123	404324	404324
124	236260	236260
125	153278	153278
127	252271	252271
128	268958	268958
129	128224	128224
130	266971	266971
133	630124	630124
134	403905	403905
135	894696	894696
138	47086	47086
142	275494	275494
144	245966	245966
146	172749	172749
147	169765	169765
148	400627	400627
155	269135	269135
157	331053	331053
158	341379	341379
160	179117	179117
166	164975	164975
167	306403	306403
168	340219	340219
170	320050	320050
171	286149	286149
202	338947	338947
204	285018	285018
207	613982	613982
209	357904	357904
211	298375	298375
213	527510	527510
216	302164	302164
217	262298	262298
220	605473	605473
223	485797	485797
225	264472	264472
229	314057	314057
230	152446	152446
231	248100	248100
233	213724	213724
234	265519	265519
239	495742	495742
240	245759	245759
243	264582	264582
244	571464	571464
245	220723	220723
246	436342	436342
250	390057	390057
251	459956	459956
253	389965	389965
256	622784	622784
259	499628	499628
260	554107	554107
263	631023	631023
265	443507	443507
266	286641	286641
269	240839	240839
271	204126	204126
276	440599	440599
277	360510	360510
283	707329	707329
285	84154	84154
286	481676	481676
288	364479	364479
289	274647	274647
292	304144	304144
295	346940	346940
296	340531	340531
298	272811	272811
299	219814	219814
300	850354	850354
301	642802	642802
305	331418	331418
306	21094	21094
309	232514	232514
310	104624	104624
312	253397	253397
317	503007	503007
320	480649	480649
327	767056	767056
329	493607	493607
333	192460	192460
335	275762	275762
336	377463	377463
340	550163	550163
348	501147	501147
351	555330	555330
364	241650	241650
365	208870	208870
366	744893	744893
368	637078	637078
373	670042	670042
375	706579	706579
376	417446	417446
381	777060	777060
390	400619	400619
391	412727	412727
392	326180	326180
393	255224	255224
395	371702	371702
397	445624	445624
405	592962	592962
407	337939	337939
410	638771	638771
421	726041	726041
427	438677	438677
433	556499	556499
434	251618	251618
436	243444	243444
438	272471	272471
441	497478	497478
444	895027	895027
445	551773	551773
446	723636	723636
447	495658	495658
448	334510	334510
449	264389	264389
450	403008	403008
451	526231	526231
453	624363	624363
456	281692	281692
457	499936	499936
459	202192	202192
460	493885	493885
467	485885	485885
472	610048	610048
473	555611	555611
474	553738	553738
479	388739	388739
480	647861	647861
485	630594	630594
488	253050	253050
